time,swiggy,zomato,Eatsure,Eatclub,Dominoz,BigBasket,Dunzo,zepto,Blinkit,Others,Total deliveries
2022-10-21 19:00:00,7,1,0,0,0,1,2,0,0,0,11
2022-10-21 20:00:00,17,6,0,1,0,0,2,0,2,0,28
2022-10-21 21:00:00,18,4,2,1,0,0,1,1,0,0,27
2022-10-21 22:00:00,10,3,0,2,0,0,1,1,0,0,17
2022-10-21 23:00:00,7,3,0,0,0,0,1,3,1,0,15
2022-10-22 0:00:00,9,1,0,1,0,0,0,2,0,0,13
2022-10-22 1:00:00,0,0,0,0,0,0,0,1,0,0,1
2022-10-22 2:00:00,7,2,0,0,0,0,0,0,0,0,9
2022-10-22 3:00:00,1,2,0,0,0,0,0,0,0,0,3
2022-10-22 4:00:00,0,2,0,0,0,0,0,0,0,0,2
2022-10-22 5:00:00,2,0,0,0,0,0,0,0,0,0,2
2022-10-22 6:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-22 7:00:00,0,0,0,0,0,1,1,0,1,0,3
2022-10-22 8:00:00,1,0,0,0,0,1,0,1,0,0,3
2022-10-22 9:00:00,1,0,0,0,0,1,1,1,1,0,5
2022-10-22 10:00:00,2,3,0,0,0,0,0,2,0,1,8
2022-10-22 11:00:00,5,5,0,0,0,0,0,0,0,0,10
2022-10-22 12:00:00,8,4,0,0,0,1,0,0,0,0,13
2022-10-22 13:00:00,13,2,1,0,0,0,1,3,0,0,20
2022-10-22 14:00:00,13,1,0,1,0,1,0,4,1,0,21
2022-10-22 15:00:00,14,2,1,2,0,0,2,0,1,0,22
2022-10-22 16:00:00,10,3,1,1,0,0,1,1,2,0,19
2022-10-22 17:00:00,3,3,0,0,0,0,0,1,0,0,7
2022-10-22 18:00:00,2,4,0,0,0,2,2,1,0,0,11
2022-10-22 19:00:00,9,5,0,2,1,2,2,1,1,1,24
2022-10-22 20:00:00,13,3,0,0,0,0,0,3,1,0,20
2022-10-22 21:00:00,8,1,1,2,1,0,0,1,0,0,14
2022-10-22 22:00:00,14,6,0,1,0,0,1,3,2,0,27
2022-10-22 23:00:00,5,1,0,0,0,0,1,0,0,0,7
2022-10-23 0:00:00,4,0,1,0,0,0,0,0,0,0,5
2022-10-23 1:00:00,1,0,0,0,0,0,0,0,0,0,1
2022-10-23 2:00:00,1,1,0,0,0,0,0,0,0,0,2
2022-10-23 3:00:00,2,2,0,0,0,0,0,0,0,0,4
2022-10-23 4:00:00,1,0,0,0,0,0,0,0,0,0,1
2022-10-23 5:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-23 6:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-23 7:00:00,0,0,0,0,0,2,0,1,0,1,4
2022-10-23 8:00:00,1,1,0,0,0,1,0,1,0,0,4
2022-10-23 9:00:00,2,0,0,0,0,0,1,1,1,0,5
2022-10-23 10:00:00,4,2,0,0,0,0,0,5,1,0,12
2022-10-23 11:00:00,3,3,0,0,1,0,3,2,1,0,13
2022-10-23 12:00:00,7,2,0,0,0,0,0,1,1,2,13
2022-10-23 13:00:00,12,1,0,0,0,0,1,1,1,0,16
2022-10-23 14:00:00,8,4,0,0,0,0,0,0,0,0,12
2022-10-23 15:00:00,15,2,0,1,1,1,0,1,1,1,23
2022-10-23 16:00:00,6,3,0,1,0,0,0,4,0,0,14
2022-10-23 17:00:00,10,2,0,0,0,2,1,1,0,0,16
2022-10-23 18:00:00,5,1,0,1,0,1,0,1,2,1,12
2022-10-23 19:00:00,6,3,0,0,0,1,0,2,1,0,13
2022-10-23 20:00:00,22,9,0,1,0,0,1,4,0,0,37
2022-10-23 21:00:00,26,8,0,0,1,2,0,2,0,0,39
2022-10-23 22:00:00,19,0,0,3,0,0,2,6,1,0,31
2022-10-23 23:00:00,6,1,0,1,0,0,1,2,1,1,13
2022-10-24 0:00:00,6,1,1,0,0,0,0,2,0,0,10
2022-10-24 1:00:00,5,0,1,0,0,0,0,2,0,0,8
2022-10-24 2:00:00,6,0,0,0,0,0,0,0,0,0,6
2022-10-24 3:00:00,2,0,0,0,0,0,0,0,0,0,2
2022-10-24 4:00:00,3,2,0,0,0,0,0,0,0,0,5
2022-10-24 5:00:00,1,0,0,0,0,0,0,0,0,0,1
2022-10-24 6:00:00,0,1,0,0,0,0,0,0,0,0,1
2022-10-24 7:00:00,0,1,0,0,0,1,0,1,0,0,3
2022-10-24 8:00:00,1,0,0,0,0,3,1,1,0,0,6
2022-10-24 9:00:00,2,0,0,0,0,0,1,1,0,0,4
2022-10-24 10:00:00,6,4,0,0,0,1,1,3,1,0,16
2022-10-24 11:00:00,5,2,0,0,0,1,1,1,1,0,11
2022-10-24 12:00:00,6,2,0,0,0,0,0,1,1,0,10
2022-10-24 13:00:00,14,6,0,3,0,0,0,3,0,0,26
2022-10-24 14:00:00,7,0,1,1,0,0,0,0,1,0,10
2022-10-24 15:00:00,10,5,1,3,1,0,0,4,2,0,26
2022-10-24 16:00:00,9,1,0,1,0,0,1,3,0,0,15
2022-10-24 17:00:00,2,1,1,0,0,0,0,3,3,0,10
2022-10-24 18:00:00,6,1,0,0,1,0,2,0,2,0,12
2022-10-24 19:00:00,7,3,1,1,1,0,0,3,0,0,16
2022-10-24 20:00:00,12,3,2,3,2,0,0,0,0,0,22
2022-10-24 21:00:00,14,1,0,4,1,0,0,0,0,0,20
2022-10-24 22:00:00,18,2,2,3,1,0,0,0,0,0,26
2022-10-24 23:00:00,8,3,1,3,1,0,1,2,0,0,19
2022-10-25 0:00:00,4,1,1,2,0,0,0,3,0,0,11
2022-10-25 1:00:00,2,0,0,0,0,0,0,1,0,0,3
2022-10-25 2:00:00,3,1,0,0,0,0,0,0,0,0,4
2022-10-25 3:00:00,1,0,0,0,0,0,0,0,0,0,1
2022-10-25 4:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-25 5:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-25 6:00:00,1,0,0,0,0,0,0,0,0,0,1
